Date,open_price,high_price,low_price,last_price,vwap_price,change_prev_close_percentage,num_trades,volume,turnover
2024-03-22,268.00,274.00,268.00,270.00,269.25226860254,0.75,22,551.00000,148358.00
2024-03-21,268.00,268.00,266.00,268.00,266.94736842105,1.52,5,57.00000,15216.00
2024-03-20,264.00,268.00,262.00,264.00,264.62560386473,0.76,29,828.00000,219110.00
2024-03-19,260.00,262.00,258.00,262.00,260.57021276596,2.34,10,235.00000,61234.00
2024-03-18,262.00,264.00,256.00,256.00,257.96765119550,0.00,24,1422.00000,366830.00
2024-03-15,268.00,268.00,256.00,256.00,261.58252427184,-4.48,29,618.00000,161658.00
2024-03-14,270.00,270.00,266.00,268.00,267.48514851485,-0.74,18,202.00000,54032.00
2024-03-13,266.00,272.00,266.00,270.00,269.95522388060,2.27,43,402.00000,108522.00
2024-03-12,254.00,266.00,254.00,264.00,258.01980198020,3.94,39,1111.00000,286660.00
2024-03-11,250.00,254.00,250.00,254.00,252.24590163934,3.25,15,122.00000,30774.00
2024-03-08,246.00,250.00,244.00,246.00,246.09429280397,-0.81,18,403.00000,99176.00
2024-03-07,250.00,250.00,248.00,248.00,248.47794117647,0.00,11,272.00000,67586.00
2024-03-06,250.00,250.00,248.00,248.00,248.93333333333,-0.80,7,45.00000,11202.00
2024-03-05,246.00,250.00,244.00,250.00,248.34951456311,1.63,12,309.00000,76740.00
2024-03-04,252.00,252.00,246.00,246.00,249.08571428571,-1.60,24,280.00000,69744.00
2024-03-01,246.00,252.00,246.00,250.00,249.78403755869,1.63,16,213.00000,53204.00
2024-02-29,252.00,254.00,246.00,246.00,250.60571428571,-3.15,32,350.00000,87712.00
2024-02-28,256.00,256.00,254.00,254.00,254.50000000000,-0.78,5,120.00000,30540.00
2024-02-27,258.00,258.00,254.00,256.00,255.55613577023,-2.29,27,383.00000,97878.00
2024-02-26,262.00,270.00,258.00,262.00,264.98368036016,0.00,102,1777.00000,470876.00
2024-02-23,246.00,264.00,246.00,262.00,258.47677261614,7.38,83,818.00000,211434.00
2024-02-22,228.00,244.00,228.00,244.00,235.67007672634,7.96,60,1564.00000,368588.00
2024-02-21,220.00,226.00,220.00,226.00,224.53269537480,2.73,27,627.00000,140782.00
2024-02-20,220.00,220.00,220.00,220.00,220.00000000000,0.92,5,22.00000,4840.00
2024-02-19,216.00,218.00,216.00,218.00,216.37500000000,0.00,9,160.00000,34620.00
2024-02-16,218.00,218.00,218.00,218.00,218.00000000000,0.93,4,70.00000,15260.00
2024-02-15,214.00,216.00,214.00,216.00,214.83333333333,0.00,3,12.00000,2578.00
2024-02-14,218.00,218.00,214.00,216.00,215.17437722420,-1.82,18,281.00000,60464.00
2024-02-13,214.00,220.00,214.00,220.00,216.44000000000,2.80,12,100.00000,21644.00
2024-02-12,212.00,214.00,210.00,214.00,211.25544554455,1.90,18,505.00000,106684.00
2024-02-09,212.00,216.00,210.00,210.00,211.95433789954,-0.94,23,438.00000,92836.00
2024-02-08,212.00,212.00,212.00,212.00,212.00000000000,0.00,6,80.00000,16960.00
2024-02-07,210.00,214.00,208.00,212.00,210.14206300185,0.95,25,1619.00000,340220.00
2024-02-06,210.00,210.00,210.00,210.00,210.00000000000,0.96,14,444.00000,93240.00
2024-02-05,206.00,208.00,206.00,208.00,207.43089430894,0.97,9,123.00000,25514.00
2024-02-02,208.00,210.00,206.00,206.00,209.00000000000,0.00,5,40.00000,8360.00
2024-02-02,,206.00,206.00,206.00,206.00000000000,,1,5580.00000,1149480.00
2024-02-01,210.00,210.00,206.00,206.00,207.82926829268,-1.90,8,164.00000,34084.00
2024-01-31,208.00,210.00,208.00,210.00,208.20000000000,0.96,3,40.00000,8328.00
2024-01-30,208.00,208.00,206.00,208.00,207.29378531073,0.97,18,354.00000,73382.00
2024-01-29,206.00,206.00,206.00,206.00,206.00000000000,0.98,11,274.00000,56444.00
2024-01-26,204.00,206.00,204.00,204.00,204.97297297297,0.99,6,259.00000,53088.00
2024-01-25,202.00,202.00,202.00,202.00,202.00000000000,0.00,7,447.00000,90294.00
2024-01-24,198.00,202.00,198.00,202.00,200.90661478599,1.00,13,514.00000,103266.00
2024-01-23,202.00,202.00,198.00,200.00,200.13888888889,-1.96,17,288.00000,57640.00
2024-01-22,204.00,204.00,202.00,204.00,203.28338762215,-1.92,16,307.00000,62408.00
